index,features,n_features_in_,n_components,optimum_tr,auc_val,f1_val,prec_val,rec_val,auc_train,f1_train,prec_train,rec_train
0,"['V14', 'V17', 'V10']",3,5,-14.874143403753811,0.9798539669978604,"(0.7761194029850748,)","(0.7428571428571429,)","(0.8125,)",0.9603279725728904,"(0.7053701015965167,)","(0.6639344262295082,)","(0.7523219814241486,)"
1,"['V14', 'V17', 'V10', 'V16', 'V11']",5,5,-21.783244428442522,0.9758219393886105,"(0.6444444444444444,)","(0.6904761904761905,)","(0.6041666666666666,)",0.956056354016687,"(0.5509181969949918,)","(0.5978260869565217,)","(0.5108359133126935,)"
2,"['V2', 'V12', 'V19', 'V9', 'V27', 'V21', 'V28', 'V24']",8,1,-152.525624681923,0.9305713092411854,"(0.16037735849056603,)","(0.14655172413793102,)","(0.17708333333333334,)",0.9159370041471938,"(0.1515601783060921,)","(0.1457142857142857,)","(0.15789473684210525,)"
3,"['V2', 'V10', 'V19', 'V22', 'V17', 'V3']",6,1,-128.6426910548402,0.9686911984524751,"(0.5000000000000001,)","(0.65,)","(0.40625,)",0.95280784251851,"(0.42447418738049714,)","(0.555,)","(0.34365325077399383,)"
4,"['V15', 'V4', 'V18', 'V6', 'V5', 'V21', 'V1', 'V3']",8,4,-64.92878794675791,0.949783112049005,"(0.3661971830985915,)","(0.5652173913043478,)","(0.2708333333333333,)",0.936632816459603,"(0.3083700440528634,)","(0.5343511450381679,)","(0.21671826625386997,)"
5,"['V2', 'V23', 'V16', 'V7', 'V10', 'V22', 'V28', 'V26']",8,5,-34.997540964199594,0.9365699830006743,"(0.37288135593220334,)","(0.4074074074074074,)","(0.34375,)",0.9346775545003869,"(0.3253424657534247,)","(0.36398467432950193,)","(0.29411764705882354,)"
6,"['V25', 'V12', 'V10', 'V11', 'V20', 'V26']",6,4,-26.677831493920323,0.9514757173422432,"(0.5560975609756098,)","(0.5229357798165137,)","(0.59375,)",0.9419857085664718,"(0.5069984447900467,)","(0.509375,)","(0.5046439628482973,)"
7,"['V14', 'V23', 'V4', 'V13', 'V5', 'V27', 'V22']",7,4,-29.70451917291756,0.9669753289955744,"(0.4365482233502538,)","(0.42574257425742573,)","(0.4479166666666667,)",0.9526140770652083,"(0.36746987951807225,)","(0.35777126099706746,)","(0.37770897832817335,)"
8,"['V2', 'V12', 'V20', 'V27', 'V21', 'V3']",6,6,-25.131242196030097,0.9333371801635452,"(0.40163934426229514,)","(0.3310810810810811,)","(0.5104166666666666,)",0.938203378772946,"(0.3715012722646311,)","(0.31533477321814257,)","(0.4520123839009288,)"
9,"['V2', 'V25', 'V10', 'V28', 'V27', 'V17']",6,6,-28.603717870853885,0.9659579339957208,"(0.5185185185185185,)","(0.6363636363636364,)","(0.4375,)",0.950788768298216,"(0.4316831683168317,)","(0.5989010989010989,)","(0.33746130030959753,)"
10,"['V25', 'V16', 'V7', 'V5', 'V27', 'V17', 'V26']",7,4,-45.06755832280857,0.9558473651044872,"(0.5153374233128833,)","(0.6268656716417911,)","(0.4375,)",0.9427672873052652,"(0.46,)","(0.6497175141242938,)","(0.3560371517027864,)"
11,"['V19', 'V9', 'V27', 'V22', 'V26']",5,7,-16.78400958223867,0.8965874952372579,"(0.15833333333333333,)","(0.13194444444444445,)","(0.19791666666666666,)",0.8799722027156547,"(0.14500683994528046,)","(0.12990196078431374,)","(0.16408668730650156,)"
12,"['V25', 'V13', 'V5', 'V21', 'V22', 'V1']",6,1,-119.62234811462042,0.8059832864386411,"(0.13131313131313133,)","(0.12745098039215685,)","(0.13541666666666666,)",0.7901378242645847,"(0.0626086956521739,)","(0.07142857142857142,)","(0.05572755417956656,)"
13,"['V14', 'V25', 'V7', 'V18', 'V21', 'V28', 'V24']",7,2,-38.3549270033808,0.9548471892493918,"(0.44660194174757284,)","(0.41818181818181815,)","(0.4791666666666667,)",0.9545055435163685,"(0.3771251931993817,)","(0.3765432098765432,)","(0.37770897832817335,)"
14,"['V14', 'V25', 'V23', 'V10', 'V9', 'V28', 'V24', 'V26']",8,1,-71.38041838221226,0.9575784386998446,"(0.2824207492795389,)","(0.1952191235059761,)","(0.5104166666666666,)",0.9390252317768039,"(0.25528007346189163,)","(0.1814621409921671,)","(0.43034055727554177,)"
15,"['V8', 'V2', 'V15', 'V23', 'V12', 'V10', 'V18', 'V17']",8,1,-186.20524086671804,0.9682059482986018,"(0.42931937172774876,)","(0.43157894736842106,)","(0.4270833333333333,)",0.948870631035915,"(0.3512195121951219,)","(0.3698630136986301,)","(0.33436532507739936,)"
16,"['V8', 'V15', 'V25', 'V9', 'V27', 'V3']",6,1,-153.30957460364408,0.8951018860458982,"(0.18421052631578946,)","(0.25,)","(0.14583333333333334,)",0.8787142350411805,"(0.12236286919831224,)","(0.19205298013245034,)","(0.08978328173374613,)"
17,"['V23', 'V12', 'V20', 'V9', 'V27', 'V22', 'V3']",7,2,-40.50335641666474,0.9175193806969724,"(0.405940594059406,)","(0.3867924528301887,)","(0.4270833333333333,)",0.921659618698202,"(0.36,)","(0.33421750663129973,)","(0.39009287925696595,)"
18,"['V12', 'V18', 'V9', 'V27', 'V21', 'V3', 'V24', 'V26']",8,2,-43.608928862487154,0.9221861352911868,"(0.47953216374269003,)","(0.5466666666666666,)","(0.4270833333333333,)",0.9164481891097214,"(0.4306049822064057,)","(0.5062761506276151,)","(0.3746130030959752,)"
19,"['V2', 'V15', 'V12', 'V19', 'V18', 'V13', 'V26']",7,1,-39.36366787113523,0.946817755502799,"(0.408,)","(0.33116883116883117,)","(0.53125,)",0.9291402451265333,"(0.3754693366708385,)","(0.31512605042016806,)","(0.46439628482972134,)"
20,"['V15', 'V25', 'V23', 'V7', 'V4', 'V18', 'V3', 'V26']",8,2,-57.35269906250814,0.9430500600838242,"(0.3466666666666667,)","(0.48148148148148145,)","(0.2708333333333333,)",0.9314339683906996,"(0.30701754385964913,)","(0.5263157894736842,)","(0.21671826625386997,)"
21,"['V8', 'V15', 'V23', 'V10', 'V7', 'V21', 'V28']",7,4,-29.485823353016364,0.9176728875406664,"(0.2363636363636364,)","(0.20967741935483872,)","(0.2708333333333333,)",0.9169906854705043,"(0.2023121387283237,)","(0.1897018970189702,)","(0.21671826625386997,)"
22,"['V8', 'V25', 'V7', 'V11', 'V1']",5,5,-17.854747671626416,0.9060525293824555,"(0.3793103448275862,)","(0.28350515463917525,)","(0.5729166666666666,)",0.9069216501197347,"(0.3281733746130031,)","(0.24613003095975233,)","(0.49226006191950467,)"
23,"['V15', 'V23', 'V7', 'V19', 'V18', 'V13', 'V22']",7,3,-27.102577124486466,0.9135382777924324,"(0.31818181818181823,)","(0.35,)","(0.2916666666666667,)",0.9124891316863426,"(0.2698961937716263,)","(0.3058823529411765,)","(0.24148606811145512,)"
24,"['V23', 'V16', 'V4', 'V19', 'V11', 'V22', 'V26']",7,2,-29.940266134957984,0.966238203054017,"(0.44549763033175355,)","(0.40869565217391307,)","(0.4895833333333333,)",0.9479147706084914,"(0.38748137108792846,)","(0.3735632183908046,)","(0.4024767801857585,)"
25,"['V8', 'V23', 'V19', 'V17', 'V20', 'V6', 'V22', 'V28']",8,2,-66.33788046084507,0.9511395776546792,"(0.36458333333333326,)","(0.3645833333333333,)","(0.3645833333333333,)",0.9413677230882259,"(0.2973856209150326,)","(0.314878892733564,)","(0.28173374613003094,)"
26,"['V25', 'V13', 'V9', 'V21', 'V22', 'V28']",6,1,-378.8775355540635,0.841489529294528,"(0.05357142857142857,)","(0.1875,)","(0.03125,)",0.8400408887659143,"(0.016216216216216217,)","(0.06382978723404255,)","(0.009287925696594427,)"
27,"['V15', 'V10', 'V20', 'V27', 'V22', 'V28', 'V24']",7,4,-23.39982939587955,0.9126833655734342,"(0.17061611374407587,)","(0.1565217391304348,)","(0.1875,)",0.9192986655564551,"(0.1715976331360947,)","(0.1643059490084986,)","(0.17956656346749225,)"
28,"['V15', 'V7', 'V12', 'V10', 'V17', 'V6', 'V28']",7,3,-29.94209907836884,0.9649368753480465,"(0.6341463414634148,)","(0.5963302752293578,)","(0.6770833333333334,)",0.9473011911750507,"(0.5462555066079294,)","(0.5195530726256983,)","(0.5758513931888545,)"
29,"['V8', 'V14', 'V10', 'V4', 'V19', 'V6', 'V21', 'V28']",8,1,-104.85712011389533,0.975837326709458,"(0.2706270627062706,)","(0.19806763285024154,)","(0.4270833333333333,)",0.9571196013156014,"(0.2336065573770492,)","(0.17457886676875958,)","(0.35294117647058826,)"
30,"['V2', 'V15', 'V16', 'V7', 'V11', 'V5', 'V28', 'V3']",8,6,-33.43552188581888,0.9510003590374865,"(0.48704663212435234,)","(0.4845360824742268,)","(0.4895833333333333,)",0.9510342168246144,"(0.4119496855345912,)","(0.4185303514376997,)","(0.4055727554179567,)"
